date,Cases/100k_ÁLVARO OBREGÓN,ASMA/100k_ÁLVARO OBREGÓN,Cases/100k_AZCAPOTZALCO,ASMA/100k_AZCAPOTZALCO,Cases/100k_BENITO JUÁREZ,ASMA/100k_BENITO JUÁREZ,Cases/100k_COYOACÁN,ASMA/100k_COYOACÁN,Cases/100k_CUAJIMALPA DE MORELOS,ASMA/100k_CUAJIMALPA DE MORELOS,Cases/100k_CUAUHTÉMOC,ASMA/100k_CUAUHTÉMOC,Cases/100k_GUSTAVO A. MADERO,ASMA/100k_GUSTAVO A. MADERO,Cases/100k_IZTACALCO,ASMA/100k_IZTACALCO,Cases/100k_IZTAPALAPA,ASMA/100k_IZTAPALAPA,Cases/100k_LA MAGDALENA CONTRERAS,ASMA/100k_LA MAGDALENA CONTRERAS,Cases/100k_MIGUEL HIDALGO,ASMA/100k_MIGUEL HIDALGO,Cases/100k_MILPA ALTA,ASMA/100k_MILPA ALTA,Cases/100k_TLÁHUAC,ASMA/100k_TLÁHUAC,Cases/100k_TLALPAN,ASMA/100k_TLALPAN,Cases/100k_VENUSTIANO CARRANZA,ASMA/100k_VENUSTIANO CARRANZA,Cases/100k_XOCHIMILCO,ASMA/100k_XOCHIMILCO,Cases/100k_TOTAL,ASMA/100k_TOTAL,O3_OBREGON,PM10_OBREGON,O3_AZCAPOTZALCO,PM10_AZCAPOTZALCO,O3_BENITOJUAREZ,PM10_BENITOJUAREZ,O3_COYOACAN,PM10_COYOACAN,O3_CUAJIMALPA,PM10_CUAJIMALPA,O3_CUAUHTEMOC,PM10_CUAUHTEMOC,O3_IZTACALCO,PM10_IZTACALCO,O3_IZTAPALAPA,PM10_IZTAPALAPA,O3_MIGUELHIDALGO,PM10_MIGUELHIDALGO,O3_MILPAALTA,PM10_MILPAALTA,O3_TLALPAN,PM10_TLALPAN,O3_VENUSTIANO,PM10_VENUSTIANO,O3_XOCHIMILCO,PM10_XOCHIMILCO,O3_TOTAL_avg,PM10_TOTAL_avg
06/01/2012,0.8000192,,10.24587603,0.07381419,0.718707476,,3.6155726,0.024271635,0.501947557,,8.262088468,,3.091516621,0.012682758,11.78435652,,2.899552922,,2.460165815,,8.231830293,,5.075148448,,5.80763455,0.081687311,3.544507195,,6.085244919,,,,4.103758718,0.042618795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/2012,1.333365334,,12.24507136,0.036907095,1.197845794,,3.6155726,0.024271635,,,12.76868218,,8.329919784,0.012682758,14.34617316,,4.157849473,0.008079785,0.410027636,,5.213492519,,6.525190862,,3.042094288,,7.38438999,,5.851197038,,,,5.583802846,0.046013212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2012,1.733374934,,14.24426668,0.07381419,0.958276635,,1.8077863,0.024271635,,,8.637637944,0.027732038,7.041787858,0.025365516,18.70126144,,2.735427285,0.016159569,2.460165815,0.060556079,2.469549088,,7.975233276,,2.765540262,,5.021385193,,9.127867379,0.069132033,,,4.989542703,0.062608141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2012,1.733374934,,14.24426668,0.07381419,1.437414953,,4.108605227,0.048543269,0.501947557,,9.388736896,,7.728791552,0.012682758,15.37089981,,3.501346924,0.008079785,3.280221087,,7.683041606,,12.32536052,,5.80763455,,7.236702191,0.021811686,11.93644196,0.034566017,1.682963362,,6.133213166,0.055945026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2012,1.866711468,,12.49497077,0.110721285,0.958276635,,2.629507345,0.024271635,0.501947557,,16.14862746,,6.268908703,,10.75962987,,2.844844376,0.008079785,2.050138179,,9.329407665,,4.350127241,,4.424864419,,6.498263191,0.021811686,9.595963142,,,,5.426828468,0.06876838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2012,1.466701868,,12.74487019,0.036907095,1.437414953,,4.601637854,0.048543269,,,10.32761059,,6.09715778,,6.404541589,,3.17309565,0.008079785,2.050138179,,6.311069891,,5.800169655,,7.743512734,0.040843656,6.793638791,0.043623372,8.659771616,0.034566017,,,5.068029892,0.060848073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2012,1.200028801,,11.99517194,0.036907095,0.479138318,,3.944261018,,0.501947557,,7.886538992,,6.526535088,0.025365516,16.1394448,,2.297758919,,3.280221087,,4.664703832,,15.95046655,,6.360742603,0.040843656,8.122828989,,9.830011024,0.034566017,,,5.314703913,0.05682506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2012,1.866711468,,16.24346201,0.036907095,0.958276635,,3.6155726,0.048543269,1.003895113,,5.821016875,,6.354784165,0.025365516,10.50344821,,3.829598199,,1.230082908,,9.878196351,0.040524697,12.32536052,,4.148310393,0.040843656,6.498263191,0.021811686,9.361915261,0.069132033,4.808466748,,5.583802846,0.059590881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2012,,,12.99476961,0.036907095,0.958276635,,3.779916809,0.072814904,,,4.882143186,0.027732038,5.06665224,0.038048274,17.16417146,,3.008970013,0.016159569,1.230082908,,3.292732117,,8.700254482,,0.829662079,,5.021385193,0.021811686,10.76620255,0.034566017,,,4.440132383,0.062608141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2012,1.466701868,,13.49456844,0.07381419,0.718707476,,,,,,14.45865482,,7.041787858,,20.49453308,,2.626010193,0.008079785,1.640110543,,7.683041606,0.040524697,6.525190862,,1.935878183,,7.089014391,,14.27692077,0.069132033,,,5.740777223,0.049784787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
