D_x,Date_x,Date_y,O3,PM10,D_y,Date,Unnamed: 0,date,Cases/100k_ÁLVARO OBREGÓN,ASMA/100k_ÁLVARO OBREGÓN,Cases/100k_AZCAPOTZALCO,ASMA/100k_AZCAPOTZALCO,Cases/100k_BENITO JUÁREZ,ASMA/100k_BENITO JUÁREZ,Cases/100k_COYOACÁN,ASMA/100k_COYOACÁN,Cases/100k_CUAJIMALPA DE MORELOS,ASMA/100k_CUAJIMALPA DE MORELOS,Cases/100k_CUAUHTÉMOC,ASMA/100k_CUAUHTÉMOC,Cases/100k_GUSTAVO A. MADERO,ASMA/100k_GUSTAVO A. MADERO,Cases/100k_IZTACALCO,ASMA/100k_IZTACALCO,Cases/100k_IZTAPALAPA,ASMA/100k_IZTAPALAPA,Cases/100k_LA MAGDALENA CONTRERAS,ASMA/100k_LA MAGDALENA CONTRERAS,Cases/100k_MIGUEL HIDALGO,ASMA/100k_MIGUEL HIDALGO,Cases/100k_MILPA ALTA,ASMA/100k_MILPA ALTA,Cases/100k_TLÁHUAC,ASMA/100k_TLÁHUAC,Cases/100k_TLALPAN,ASMA/100k_TLALPAN,Cases/100k_VENUSTIANO CARRANZA,ASMA/100k_VENUSTIANO CARRANZA,Cases/100k_XOCHIMILCO,ASMA/100k_XOCHIMILCO,Cases/100k_TOTAL,ASMA/100k_TOTAL,day,month,year,month_and_year,date_woh
,01 01 2014,,,,,01 01 2014,666,2014-01-01,1.0666922672810817,,13.494568436204426,0.1107212845376488,2.156122429422926,,,,0.5019475565192949,,8.262088468190019,,4.551399469461399,0.012682757994037978,11.271993195815014,,1.9695076449721751,,3.280221086901257,,15.640477555914707,,2.1750636206109033,,2.4889862359061152,,3.8398827949620737,,6.787388563952413,,0.961693349650064,,4.3167953725747585,0.0016559428851670047,01,01,2014,01 2014,01 01 2014
,01 02 2014,,,,,01 02 2014,667,2014-01-02,2.0000480011520283,,9.246278372954883,0.036907094845882935,0.9582766352990782,,0.8217210454263828,0.02427163465070013,,,9.200962157757068,,6.0971577798445145,0.012682757994037978,5.892178261448757,,2.2977589191342043,,1.6401105434506285,,10.426985037276474,0.24314818085808645,0.7250212068703009,,6.360742602871183,0.04084365565877481,5.9075119922493435,,7.957627971530415,,,,4.328007828087942,0.004967828655501013,02,01,2014,01 2014,01 02 2014
,01 03 2014,,,,,01 03 2014,668,2014-01-03,1.0666922672810817,,8.996378957469616,0.07381418969176587,1.437414952948617,,1.150409463596936,0.02427163465070013,,,10.703160061064343,,5.496029548028859,0.012682757994037978,7.173086579155012,,2.8995529217645912,0.01615956948819429,1.6401105434506285,,4.66470383246579,0.04052469680968108,9.425275689313912,,5.807634550447602,0.08168731131754962,3.2491315957371394,0.02181168621160614,5.617149156374412,0.06913203334069816,5.529736760487868,0.10652278117357863,4.2943704615483975,0.004967828655501013,03,01,2014,01 2014,01 03 2014
,01 04 2014,,,,,01 04 2014,669,2014-01-04,0.8000192004608111,,11.495373112322287,0.036907094845882935,1.6769841117733868,,2.4651631362791484,0.02427163465070013,0.5019475565192949,,11.078709536891164,,4.379648546085496,0.012682757994037978,5.635996597907507,,2.352467464827876,,1.2300829075879711,,12.622139781966254,,9.425275689313912,,3.0420942883296966,,3.6921949951558397,,5.14905339334321,,3.365926723775224,,4.305582917061578,0.0016559428851670047,04,01,2014,01 2014,01 04 2014
,01 05 2014,,,,,01 05 2014,670,2014-01-05,0.9333557338709464,,8.246680711013816,0.1107212845376488,,,1.8077862999380423,,,,7.510989516536382,0.027732037901623617,4.379648546085496,0.012682757994037978,8.710176560402513,,1.8600905535848316,0.024239354232291437,2.0501381793132856,,13.994111497397368,0.04052469680968108,5.075148448092107,,3.0420942883296966,,3.8398827949620737,,7.021436445468013,0.03456601667034908,5.048890085662835,0.035507593724526214,4.047696440258411,0.003311885770334009,05,01,2014,01 2014,01 05 2014
,01 06 2014,,,,,01 06 2014,671,2014-01-06,1.0666922672810817,,9.995976619410687,0.036907094845882935,0.9582766352990782,0.03538144196826035,3.2868841817055316,0.02427163465070013,,,10.327610585237526,,4.7231503928373,0.02536551598807596,4.098906616660007,,2.6260101932962336,0.01615956948819429,0.8200552717253142,,6.859858577155572,,3.625106034351505,,7.190404681506555,0.08168731131754962,4.1352583945745405,,4.9150055118276095,0.10369805001104723,7.2127001223754785,,4.2943704615483975,0.0016559428851670047,06,01,2014,01 2014,01 06 2014
,01 07 2014,,,,,01 07 2014,672,2014-01-07,0.8000192004608111,,9.246278372954883,0.036907094845882935,1.1978457941238478,,2.300818927193872,0.02427163465070013,0.5019475565192949,,10.327610585237526,,4.980776777901152,0.02536551598807596,10.503448205191264,,1.6959649165038175,,0.4100276358626571,,8.506224635672911,0.1215740904290432,5.800169654962407,,7.743512733930137,,6.645950991280513,,8.191675853046016,,6.731853447550448,0.10652278117357863,4.754081137588827,0.0016559428851670047,07,01,2014,01 2014,01 07 2014
,01 08 2014,,,,,01 08 2014,673,2014-01-08,1.2000288006912163,,8.496580126499081,0.07381418969176587,1.437414952948617,,1.8077862999380423,0.02427163465070013,,,11.078709536891164,,6.526535088284269,0.012682757994037978,6.148359924990009,,4.048432381331693,,,,7.957435949500465,,2.1750636206109033,,4.70141844560044,,6.498263191474278,0.06543505863481841,7.723580090014813,0.06913203334069816,10.338203508738188,,5.180154447089712,0.003311885770334009,08,01,2014,01 2014,01 08 2014
,01 09 2014,,,,,01 09 2014,674,2014-01-09,0.8000192004608111,,8.996378957469616,0.07381418969176587,1.1978457941238478,,3.1225399726202547,0.04854326930140025,0.5019475565192949,,10.139835847324118,,5.667780471404758,,8.197813233320014,,2.4618845562152187,0.024239354232291437,,,12.622139781966254,0.1620987872387243,2.1750636206109033,,4.4248644193886495,,5.31676079302441,0.04362337242321227,7.021436445468013,,6.010583435312898,,4.709231315536101,0.0016559428851670047,09,01,2014,01 2014,01 09 2014
,01 10 2014,,,,,01 10 2014,675,2014-01-10,1.2000288006912163,,8.496580126499081,0.036907094845882935,1.6769841117733868,,1.6434420908527656,0.04854326930140025,,,10.515385323150936,,4.379648546085496,0.012682757994037978,6.6607232520725095,,2.5165931019088905,0.008079784744097145,,,10.975773723448915,,5.075148448092107,,7.190404681506555,,5.021385193411943,0.02181168621160614,6.085244919405612,0.03456601667034908,2.1638100367126443,,4.271945550522036,0.0016559428851670047,10,01,2014,01 2014,01 10 2014
