date,O3_AO,PM10_AO,O3_AZ,PM10_AZ,O3_BJ,PM10_BJ,O3_CY,PM10_CY,O3_CJ,PM10_CJ,O3_CH,PM10_CH,O3_IC,PM10_IC,O3_IZ,PM10_IZ,O3_MH,PM10_MH,O3_MA,PM10_MA,O3_TL,PM10_TL,O3_VC,PM10_VC,O3_XO,PM10_XO
23/01/2014,30.91666667,81.04166667,28.25,103.1666667,,,30.60416667,0,45.33333333,67.39583333,,85.29166667,27.54166667,71.04166667,33.79166667,91.75,,,,,39.14583333,73.54166667,29.79166667,98.16666667,51.125,80.875
24/01/2014,30.66666667,53.16666667,23.04166667,60.04166667,,,28.70833333,5e-324,38.1875,49.60416667,,59.66666667,29,52.29166667,32.41666667,67.25,,,,,36.08333333,48.79166667,26.41666667,70.625,33.05555556,53.38095238
25/01/2014,31.83333333,53.56521739,24.83333333,68.33333333,,,24.16666667,0,38.375,49.3125,,69.875,25.91666667,59,27.08333333,76.54166667,,,,,30.58333333,54.54166667,24.41666667,76.04166667,35.04166667,63.95833333
26/01/2014,38.83333333,36.95833333,27.33333333,51.625,,,30.10416667,0,44.33333333,38.875,,50.125,33.29166667,48.91666667,39.83333333,60.54166667,,,,,37.83333333,47.66666667,29.27083333,70.83333333,42.41666667,54.08333333
27/01/2014,37.75,52.625,29,68.66666667,,,29.83333333,0,51.5,44.89583333,,60.75,33.33333333,54.5,45.33333333,74.20833333,,,,,35,57.08333333,29.6875,81.875,47.79166667,60.25
28/01/2014,34,41.95238095,24.79166667,54.875,,,26.04166667,0,41.41666667,38.72916667,,53.83333333,24.625,52.625,36,75.95833333,,,,,33.25,48.54545455,23.5,65.91666667,39.75,57.7
29/01/2014,31.42105263,36.56521739,25.29166667,58.125,,,30.3125,0,37,35.9375,,42.66666667,28.66666667,38.29166667,37.23809524,46,,,,,35.375,34.13636364,20.16666667,59.08333333,46.70588235,
30/01/2014,34.16666667,45.69565217,23.70833333,57.41666667,,,26.77083333,0,34.08333333,34.79166667,,54.83333333,23.70833333,43.95833333,30.17391304,57.95652174,,,,,31.625,46.7826087,23.77083333,64.66666667,35,72
31/01/2014,40.20833333,53.16666667,25,75.58333333,,,26.375,0,43.8125,53.5625,,69.54166667,26.08333333,58.29166667,34.41666667,79.33333333,,,,,24.80952381,56.66666667,26.41666667,89.20833333,35.18181818,65.27272727
01/02/2014,37.125,51.95833333,27.75,67.45833333,,,27.20833333,5e-324,44.47916667,42.625,,59.125,27.79166667,57.41666667,34.58333333,73.04166667,,,,,31.33333333,55.04166667,25.75,78.04166667,37.54166667,60.54166667
