,date,Cases/100k_ÁLVARO OBREGÓN,ASMA/100k_ÁLVARO OBREGÓN,Cases/100k_AZCAPOTZALCO,ASMA/100k_AZCAPOTZALCO,Cases/100k_BENITO JUÁREZ,ASMA/100k_BENITO JUÁREZ,Cases/100k_COYOACÁN,ASMA/100k_COYOACÁN,Cases/100k_CUAJIMALPA DE MORELOS,ASMA/100k_CUAJIMALPA DE MORELOS,Cases/100k_CUAUHTÉMOC,ASMA/100k_CUAUHTÉMOC,Cases/100k_GUSTAVO A. MADERO,ASMA/100k_GUSTAVO A. MADERO,Cases/100k_IZTACALCO,ASMA/100k_IZTACALCO,Cases/100k_IZTAPALAPA,ASMA/100k_IZTAPALAPA,Cases/100k_LA MAGDALENA CONTRERAS,ASMA/100k_LA MAGDALENA CONTRERAS,Cases/100k_MIGUEL HIDALGO,ASMA/100k_MIGUEL HIDALGO,Cases/100k_MILPA ALTA,ASMA/100k_MILPA ALTA,Cases/100k_TLÁHUAC,ASMA/100k_TLÁHUAC,Cases/100k_TLALPAN,ASMA/100k_TLALPAN,Cases/100k_VENUSTIANO CARRANZA,ASMA/100k_VENUSTIANO CARRANZA,Cases/100k_XOCHIMILCO,ASMA/100k_XOCHIMILCO,Cases/100k_TOTAL,ASMA/100k_TOTAL
0,2011-12-26,0.8000192004608111,,8.74647954198435,0.07381418969176587,2.3956915882476957,,2.9581957635349783,,1.0038951130385898,,8.82541268193025,,6.183033241532465,0.025365515988075956,10.759629868732516,,2.6260101932962336,,2.4601658151759427,0.12111215880061472,10.152590694190248,0.08104939361936216,5.800169654962407,,8.849728838777299,0.08168731131754962,5.464448592830643,,10.29810678668642,0.06913203334069816,3.1255033863627077,,5.124092169523806,0.0033118857703340093
1,2011-12-27,2.6667306682027037,,9.246278372954885,0.036907094845882935,1.4374149529486173,,2.4651631362791484,0.04854326930140025,1.5058426695578846,,10.139835847324116,,5.066652239589104,,10.503448205191265,,2.7354272846835763,,0.4100276358626571,,9.32940766493158,,5.800169654962407,,5.254526498024021,0.04084365565877481,6.498263191474279,,9.361915260624018,,5.7701600979003835,,5.101667258497443,0.0016559428851670047
2,2011-12-28,1.8667114677418926,0.03938435850626645,7.996781295528549,0.036907094845882935,0.9582766352990782,,2.1364747181085955,0.024271634650700126,,,12.76868217811185,,5.667780471404759,0.012682757994037978,9.478721551026263,,3.0089700131519344,0.01615956948819429,,,9.603802008017803,0.04052469680968108,7.25021206870301,,4.4248644193886495,,6.350575391668045,,9.830011023655219,0.03456601667034908,2.644656711537676,,5.000755158878812,0.0016559428851670047
3,2011-12-29,0.40000960023040555,,8.996378957469618,0.07381418969176587,0.7187074764743087,,3.6155725998760846,0.024271634650700126,,,9.200962157757068,,6.3547841649083665,0.012682757994037978,8.197813233320012,0.07566981247821616,2.790135830377248,0.008079784744097145,3.280221086901257,,7.957435949500465,,5.075148448092107,,4.70141844560044,0.04084365565877481,5.464448592830643,,11.234298312748821,0.03456601667034908,,,4.6643814934833765,0.0033118857703340093
4,2011-12-30,0.40000960023040555,,12.494970774263358,0.036907094845882935,0.4791383176495391,,3.1225399726202547,0.04854326930140025,0.5019475565192949,,5.257692661575468,,5.410154086340907,0.025365515988075956,11.528174859356266,,3.3372212873139633,0.008079784744097145,0.8200552717253142,,6.859858577155573,,7.25021206870301,,4.4248644193886495,0.08168731131754962,4.578321793993242,0.04362337242321227,7.489532208499214,,,,4.350432739114304,0.0016559428851670047
5,2011-12-31,0.13333653341013518,,9.496177788440152,0.036907094845882935,1.4374149529486173,,,,,,7.886538992363202,,2.576263850638527,0.012682757994037978,3.3303616260362547,,1.5318392794228028,0.01615956948819429,1.2300829075879713,,2.4695490877760062,,6.525190861832709,,1.382770131058953,,3.8398827949620737,0.021811686211606136,2.3404788151560045,0.06913203334069816,,,2.466740212899863,0.0016559428851670047
6,2012-01-02,0.9333557338709463,,14.99396492911603,0.07381418969176587,0.7187074764743087,,2.1364747181085955,0.024271634650700126,0.5019475565192949,,9.764286371497297,,5.066652239589104,0.012682757994037978,7.941631569778761,0.03783490623910808,3.4466383787013064,,2.8701934510386,,8.780618978759135,,7.25021206870301,,2.765540262117906,,3.5445071953496066,,7.957627971530415,,,,4.552256938351564,0.0033118857703340093
7,2012-01-03,1.2000288006912165,,13.744467851689693,0.036907094845882935,0.9582766352990782,,2.9581957635349783,0.024271634650700126,0.5019475565192949,,9.576511633583888,,3.77852031426984,0.025365515988075956,9.991084878108765,,2.790135830377248,,3.280221086901257,,8.231830292586688,0.04052469680968108,3.625106034351505,0.1070767868555349,4.148310393176859,0.04084365565877481,4.1352583945745405,,7.723580090014814,0.03456601667034908,,,4.384070105653847,0.0016559428851670047
8,2012-01-04,1.3333653341013518,,7.746881880043282,0.036907094845882935,1.6769841117733868,,2.1364747181085955,0.024271634650700126,1.5058426695578846,,13.33200639185208,0.055464075803247234,5.753655933092711,0.012682757994037978,3.8427249531187555,,3.0089700131519344,,2.4601658151759427,,8.231830292586688,0.08104939361936216,9.425275689313912,0.1070767868555349,6.360742602871183,0.04084365565877481,5.612136392636877,0.04362337242321227,9.830011023655219,0.03456601667034908,,,4.754081137588826,0.0016559428851670047
9,2012-01-05,1.2000288006912165,,12.744870189748625,0.036907094845882935,2.156122429422926,,1.8077862999380423,0.04854326930140025,,,6.008791613229106,,4.637274931149348,,8.710176560402513,,2.3524674648278756,0.008079784744097145,2.4601658151759427,,4.9390981755520125,0.04052469680968108,2.9000848274812037,,3.5952023407532776,0.04084365565877481,4.430633994187008,0.021811686211606136,5.851197037890011,0.03456601667034908,,,3.8010224189684245,0.0016559428851670047
