month_and_year,CO,O3,PM10,PM2.5,PMCO,SO2
01 2016,1.041323792486583,21.34954954954955,50.65870786516854,28.751404494382022,21.93679775280899,7.378571428571429
02 2016,0.8618208516886947,34.202643171806166,63.77312138728324,34.34826589595376,29.447976878612717,13.463235294117647
03 2016,0.6355371900826446,32.11018131101813,35.292749658002734,19.27747252747253,16.087551299589602,3.0348675034867503
04 2016,0.8112857142857139,38.69714285714286,48.44710860366714,27.421720733427364,21.01833568406206,4.869851729818781
05 2016,0.8939528023598815,46.603042876901796,46.32793522267207,31.163292847503374,15.1417004048583,3.005524861878453
06 2016,0.707943925233644,36.318634423897585,31.314245810055866,21.55586592178771,9.755586592178771,2.8231098430813124
07 2016,0.5992977528089882,31.202216066481995,29.556462585034012,18.552380952380954,10.991836734693878,3.130434782608696
08 2015,0.4844413012729847,31.64804469273743,30.59904912836767,19.391442155309033,11.206022187004754,
08 2016,0.5798620689655176,30.189821182943604,28.808367071524966,18.31983805668016,10.49932523616734,3.203856749311295
09 2015,0.7601837672281767,27.70137825421133,30.381736526946106,20.41616766467066,9.97754491017964,4.07829181494662
09 2016,0.5323426573426568,25.281205164992826,28.81779661016949,17.576271186440678,11.233050847457626,3.067431850789096
10 2015,0.7471942446043173,22.480575539568346,34.03151862464183,19.374821173104436,14.687679083094556,3.1832611832611835
10 2016,0.548592592592592,26.69348127600555,29.37162162162162,15.485135135135135,13.894594594594595,4.282051282051282
11 2015,0.8039942938659065,21.185449358059916,44.853932584269664,26.93820224719101,17.91994382022472,8.470756062767475
11 2016,0.7447976878612709,18.98697539797395,39.48527349228611,24.987377279102386,14.518934081346423,5.74455732946299
12 2015,1.020108695652174,21.5762987012987,61.04641350210971,38.16151685393258,22.96067415730337,8.219336219336219
12 2016,0.7560332871012483,21.980938416422287,43.44613050075873,24.08649468892261,19.350531107739,5.634920634920635
