month_and_year,O3,PM2.5
01 2016,20.547657512116317,
02 2016,33.170149253731346,
03 2016,32.711724137931036,
04 2016,38.14122681883024,
05 2016,45.57538035961272,
06 2016,33.86430678466077,
07 2016,31.171184022824537,
08 2016,29.143459915611814,
09 2016,26.550373134328357,
10 2016,26.985759493670887,
11 2016,19.912857142857142,
12 2015,23.167358229598893,44.37571428571429
12 2016,22.129172714078376,
